Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create and Delete Data,,,,13-02-2024 16:09:00,13-02-2024 16:09:17,17.565s,PASSED
,,,,,,,
Test Cases/Create Booking,,,,13-02-2024 16:09:00,13-02-2024 16:09:13,13.135s,PASSED
"response = sendRequest(findTestObject(""Token""))",,,,13-02-2024 16:09:01,13-02-2024 16:09:07,6.327s,PASSED
"token = getElementPropertyValue(response, ""token"")",,,,13-02-2024 16:09:07,13-02-2024 16:09:08,0.492s,PASSED
"createBooking = sendRequest(findTestObject(""Object Repository/Post Booking - Create Data""))",,,,13-02-2024 16:09:08,13-02-2024 16:09:09,1.418s,PASSED
bookingId = 0,,,,13-02-2024 16:09:09,13-02-2024 16:09:09,0.014s,PASSED
"if (verifyResponseStatusCode(createBooking, 200))",,,,13-02-2024 16:09:09,13-02-2024 16:09:10,0.148s,PASSED
"GetDatabyId = sendRequest(findTestObject(""Object Repository/Get By IdBooking"", [""id"":bookingId]))",,,,13-02-2024 16:09:10,13-02-2024 16:09:11,1.417s,PASSED
"println(""booking idnya = "" + bookingId)",,,,13-02-2024 16:09:11,13-02-2024 16:09:11,0.019s,PASSED
bookingId = bookingId,,,,13-02-2024 16:09:11,13-02-2024 16:09:11,0.001s,PASSED
Video,,,,13-02-2024 16:09:13,13-02-2024 16:09:13,0.002s,PASSED
,,,,,,,
Test Cases/Delete Booking,,,,13-02-2024 16:09:13,13-02-2024 16:09:17,4.057s,PASSED
"println(""ini tokennya "" + token)",,,,13-02-2024 16:09:13,13-02-2024 16:09:13,0.015s,PASSED
"println(""ini idbookingnya "" + bookingId)",,,,13-02-2024 16:09:13,13-02-2024 16:09:13,0.017s,PASSED
"deleteBooking = sendRequest(findTestObject(""Object Repository/Delete Booking"", [""id"":bookingId]))",,,,13-02-2024 16:09:13,13-02-2024 16:09:15,1.774s,PASSED
"verifyResponseStatusCode(deleteBooking, 201)",,,,13-02-2024 16:09:15,13-02-2024 16:09:15,0.006s,PASSED
Video,,,,13-02-2024 16:09:17,13-02-2024 16:09:17,0.002s,PASSED
